店名,網址,星級,評論,回復,地址
王田鵝肉,https://www.google.com.tw/maps/place/%E7%8E%8B%E7%94%B0%E9%B5%9D%E8%82%89/data=!4m5!3m4!1s0x34693fa8e3b7b6fd:0x9879af3070342b3!8m2!3d24.1208817!4d120.5715852?authuser=0&hl=zh-TW&rclk=1,4.3,1177,"['湯冬粉麵好吃，吸滿湯汁的麵條一碗覺得不夠，燙空心菜鮮綠脆嫩', '南下王田交流道下去很近，C/P值很好的餐廳。車子可以停在附近五路財神廟門口廣場。', '。店面裝潢一般般，不適合帶歐美日客人。廁所OK，停車尚稱方便。']",432台中市大肚區沙田路一段260號
品香手工肉包,https://www.google.com.tw/maps/place/%E5%93%81%E9%A6%99%E6%89%8B%E5%B7%A5%E8%82%89%E5%8C%85/data=!4m5!3m4!1s0x34693f15c5c4afe9:0x88b84de930c63aca!8m2!3d24.1285581!4d120.555652?authuser=0&hl=zh-TW&rclk=1,4.3,735,"['小孩喜歡筍肉包， 爸爸喜歡鮮肉包， 媽媽喜歡芋頭饅頭（有顆粒比黑糖饅頭香）', '旅途經過必停購買的美食，也有冷凍包子讓旅人回家蒸熱享用。', '料多實在的包子店，不會因為是免費提供媽祖遶境香客，而減少材料使用~']",432台中市大肚區沙田路一段813號
大肚夜市,https://www.google.com.tw/maps/place/%E5%A4%A7%E8%82%9A%E5%A4%9C%E5%B8%82/data=!4m5!3m4!1s0x34693f9ea9e2c54b:0x79dba4966602ee76!8m2!3d24.1553508!4d120.545188?authuser=0&hl=zh-TW&rclk=1,4.1,1183,"['美食推薦：胡椒餅（拔絲起司超棒）、藥燉排骨、蚵仔麵線…！', '地方的小夜市，在地人我星期日晚上的好去處，覓食好地點，小吃種類還行。', '物美價廉 物品多樣化 停車方便 離火車站、公車站很近']",432台中市大肚區榮華街24號
台中大肚區自強早市,https://www.google.com.tw/maps/place/%E5%8F%B0%E4%B8%AD%E5%A4%A7%E8%82%9A%E5%8D%80%E8%87%AA%E5%BC%B7%E6%97%A9%E5%B8%82/data=!4m5!3m4!1s0x34693e31f50db62f:0xcc434fb8d061e301!8m2!3d24.1736015!4d120.5799587?authuser=0&hl=zh-TW&rclk=1,4.1,1572,"['＃蔬果瓜豆薯菇（鮮花）不缺，豆腐，素食，丸子，燒烤滷味，麵條水餃混沌皮都到。', '有好吃的油飯、魚羹麵，蔬菜水果價格實在優惠，是吃美食、採買的好地方！', '小型的菜市場，一般的青菜，水果，肉類為主，沒什麼多樣性。水產，海鮮種類稍嫌不足。']",432台中市大肚區遊園路二段203巷3弄
蒙古草原養生麻辣火鍋,https://www.google.com.tw/maps/place/%E8%92%99%E5%8F%A4%E8%8D%89%E5%8E%9F%E9%A4%8A%E7%94%9F%E9%BA%BB%E8%BE%A3%E7%81%AB%E9%8D%8B/data=!4m5!3m4!1s0x346916ef268b2c3d:0x7946c73d6e0fb41e!8m2!3d24.2276393!4d120.6518929?authuser=0&hl=zh-TW&rclk=1,4.3,815,"['湯頭好，菜多，有咖啡、烏梅汁、可樂、明治冰淇淋。', '飽。😋😋😋 佐料區，有辣椒蒜泥蔥花醬油沙茶白醋，基本上該有的都有。', '東西貴，難停車，服務不好，沒特色，還有太吵不像餐廳，只能給兩顆星。']",428台中市大雅區雅環路二段145號
富林園洋菓子,https://www.google.com.tw/maps/place/%E5%AF%8C%E6%9E%97%E5%9C%92%E6%B4%8B%E8%8F%93%E5%AD%90/data=!4m5!3m4!1s0x346916a2fa024499:0xcc1ce433977ac776!8m2!3d24.2311346!4d120.6407069?authuser=0&hl=zh-TW&rclk=1,4.3,867,"['交通方便，小地方，相對停車場大，城市中有趣的建築，下午茶兼伴手禮的好地方。', '環境及服務很放鬆，飲品蛋糕普普，小餅乾不錯吃。朋友說黑咖啡還不錯。', '外觀像城堡，很特別的菓子點心店，裡面的餐點一般，外觀比起食物較引人注目']",428台中市大雅區中清路四段340號
雅潭夜市,https://www.google.com.tw/maps/place/%E9%9B%85%E6%BD%AD%E5%A4%9C%E5%B8%82/data=!4m5!3m4!1s0x346916f0769cbda7:0x316fec090f6ba761!8m2!3d24.2208648!4d120.6542724?authuser=0&hl=zh-TW&rclk=1,4.1,4439,"['星期三的夜市攤位並不多 但是店家都滿強的 不二拉麵 牛排 豆花 蒙古烤肉 都好吃', '美食攤位多，味美價廉，用品，遊樂亦多，適合全家來逛，但停車不易需拍隊。', '蚵仔煎 排骨酥 燒仙草芋圓 水果蛋糕 推推~']",428台中市大雅區雅潭路四段311號
陶醴婚禮會館,https://www.google.com.tw/maps/place/%E9%99%B6%E9%86%B4%E5%A9%9A%E7%A6%AE%E6%9C%83%E9%A4%A8/data=!4m5!3m4!1s0x346916ef9df8e62b:0x560e11a43200c62!8m2!3d24.2255365!4d120.6535431?authuser=0&hl=zh-TW&rclk=1,4.1,990,"['環境不大，小而美，位子有點擁擠，餐點不錯，服務到位，可惜音響設備出點問題。', '格局規劃不是很好，隔壁喜宴聲音很大聲，聽得清清楚楚，出菜很慢，服務生服務態度不錯', '鮑魚嚼不動,龍蝦塞牙縫,食材是好料,但是廚師功力有待加強！']",428台中市大雅區雅環路二段58號
台中威汀城市酒店,https://www.google.com.tw/maps/place/%E5%8F%B0%E4%B8%AD%E5%A8%81%E6%B1%80%E5%9F%8E%E5%B8%82%E9%85%92%E5%BA%97/data=!4m8!3m7!1s0x346916ec2bb1b88d:0x47dc5aa19967ce51!5m2!4m1!1i2!8m2!3d24.2263917!4d120.6480767?authuser=0&hl=zh-TW&rclk=1,4.2,1536,[],428台中市大雅區民生路一段100號
SHOWBA小北百貨-台中大雅店,https://www.google.com.tw/maps/place/SHOWBA%E5%B0%8F%E5%8C%97%E7%99%BE%E8%B2%A8-%E5%8F%B0%E4%B8%AD%E5%A4%A7%E9%9B%85%E5%BA%97/data=!4m5!3m4!1s0x346916ef9b772edb:0x473496ee96afbe8f!8m2!3d24.2248887!4d120.6536267?authuser=0&hl=zh-TW&rclk=1,4.2,701,"['物品豐富，但在一樓靠近員工進出口處前方常聚集很多蚊子，期望店家能改善此點。', '品項齊全，購物方便，可惜無停車場，附近也不會停車，建議騎車前來', '櫃台人員的記憶力超好。面對眾多的商品，找不到問櫃台的服務人員就對了。']",428台中市大雅區雅環路二段28號
